idx,uc_target,column,status,error
97,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_daily_creditline,etr_y,OK,
98,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_daily_creditline,etr_ym,OK,
99,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_daily_creditline,etr_ymd,OK,
100,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_daily_dividends,etr_y,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_y` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_daily_dividends`. SQLSTATE: 428FR"
101,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_daily_dividends,etr_ym,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ym` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_daily_dividends`. SQLSTATE: 428FR"
102,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_daily_dividends,etr_ymd,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ymd` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_daily_dividends`. SQLSTATE: 428FR"
103,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycommisionreport,etr_y,OK,
104,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycommisionreport,etr_ym,OK,
105,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycommisionreport,etr_ymd,OK,
106,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycommisionreport_test,etr_y,FAIL,"[UNRESOLVED_COLUMN.WITH_SUGGESTION] A column, variable, or function parameter with name `etr_y` cannot be resolved. Did you mean one of the following? []. SQLSTATE: 42703; line 1 pos 0"
107,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycommisionreport_test,etr_ym,FAIL,"[UNRESOLVED_COLUMN.WITH_SUGGESTION] A column, variable, or function parameter with name `etr_ym` cannot be resolved. Did you mean one of the following? []. SQLSTATE: 42703; line 1 pos 0"
108,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycommisionreport_test,etr_ymd,FAIL,"[UNRESOLVED_COLUMN.WITH_SUGGESTION] A column, variable, or function parameter with name `etr_ymd` cannot be resolved. Did you mean one of the following? []. SQLSTATE: 42703; line 1 pos 0"
109,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycopyrevenue,etr_y,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_y` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycopyrevenue`. SQLSTATE: 428FR"
110,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycopyrevenue,etr_ym,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ym` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycopyrevenue`. SQLSTATE: 428FR"
111,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycopyrevenue,etr_ymd,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ymd` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycopyrevenue`. SQLSTATE: 428FR"
112,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailydividendsbyposition,etr_y,OK,
113,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailydividendsbyposition,etr_ym,OK,
114,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailydividendsbyposition,etr_ymd,OK,
115,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailyzero_treesize_new,etr_y,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_y` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailyzero_treesize_new`. SQLSTATE: 428FR"
116,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailyzero_treesize_new,etr_ym,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ym` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailyzero_treesize_new`. SQLSTATE: 428FR"
117,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailyzero_treesize_new,etr_ymd,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ymd` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailyzero_treesize_new`. SQLSTATE: 428FR"
118,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailyzeropnl_stocks,etr_y,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_y` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailyzeropnl_stocks`. SQLSTATE: 428FR"
119,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailyzeropnl_stocks,etr_ym,FAIL,"[CANNOT_ALTER_PARTITION_COLUMN] ALTER TABLE (ALTER|CHANGE) COLUMN is not supported for partition columns, but found the partition column `etr_ym` in the table `main`.`bi_db`.`gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailyzeropnl_stocks`. SQLSTATE: 428FR"
